,by,descendants,id,kids,score,time,title,type,url,text
0,alexmolas,84.0,37955600,"[37956175, 37957549, 37956486, 37957287, 37955933, 37956041, 37956768, 37956664, 37956694, 37955963, 37956071, 37957435, 37956743, 37956838, 37956360, 37957296, 37956575, 37956569, 37957392]",137,1697808035,In search of the least viewed article on Wikipedia (2022),story,http://colinmorris.github.io/blog/unpopular-wiki-articles,
1,sebg,55.0,37955402,"[37955978, 37957778, 37957569, 37956498, 37955868, 37955867, 37955743, 37955918, 37955888, 37955746, 37956324, 37956983, 37955824, 37956050, 37956614]",114,1697806608,Nakatomi Space,story,https://www.bldgblog.com/2010/01/nakatomi-space/,
2,h1fra,20.0,37955617,"[37956096, 37957469, 37956397, 37956885, 37956438, 37956986, 37957197, 37956365, 37956580]",51,1697808140,Versioning data in Postgres? Testing a Git like approach,story,https://www.specfy.io/blog/7-git-like-versioning-in-postgres,
3,cwal37,0.0,37956816,[37957714],15,1697813057,Eclipse October 2023,story,https://www.gridstatus.io/dashboards/eclipse-oct-2023,
4,patrakov,0.0,37957397,,10,1697815372,"""<ESC>[31M""? ANSI Terminal security in 2023 and finding 10 CVEs",story,https://dgl.cx/2023/09/ansi-terminal-security,
5,beardyw,2.0,37953267,"[37953330, 37953444, 37953387]",17,1697786496,Instagram apologises for adding 'terrorist' to some Palestinian user profiles,story,https://www.theguardian.com/technology/2023/oct/20/instagram-palestinian-user-profile-bios-terrorist-added-translation-meta-apology,
6,rntn,66.0,37955952,"[37957596, 37956596, 37957654, 37956419, 37956573, 37957069, 37957250, 37957693, 37956693, 37956787, 37956682, 37956754, 37956590, 37956924, 37957130, 37956399, 37957334, 37956506]",140,1697809749,"Nonprofit hospitals skimp on charity while CEOs reap millions, report finds",story,https://arstechnica.com/health/2023/10/nonprofit-hospitals-skimp-on-charity-while-ceos-reap-millions-report-finds/,
7,novaRom,14.0,37954600,"[37956434, 37955934, 37955645, 37955833, 37954705, 37955699, 37956604]",105,1697800080,Hexagonal Grids (2013),story,https://www.redblobgames.com/grids/hexagons/,
8,f311a,30.0,37955264,"[37957719, 37957612, 37956291, 37956858, 37956830]",97,1697805653,Encrypted traffic interception on Hetzner and Linode targeting Jabber service,story,https://notes.valdikss.org.ru/jabber.ru-mitm/,
9,zdw,3.0,37951900,"[37957691, 37957534]",34,1697770578,Everything Looks Like a Nail,story,https://wheresyoured.at/p/everything-looks-like-a-nail,
10,isaacfrond,55.0,37956714,"[37957019, 37956973, 37956872, 37957084, 37957111, 37956876, 37957108, 37956866, 37956942, 37957704, 37956900, 37956987, 37956847]",128,1697812645,Cops Are Suing a Teen for Invasion of Privacy After False Arrest Vid Goes Viral,story,https://www.vice.com/en/article/jg5a88/cops-sue-teen-invasion-of-privacy-false-arrest,
11,ingve,202.0,37952719,"[37955156, 37957801, 37953035, 37954110, 37953748, 37952958, 37953460, 37953320, 37954681, 37953501, 37953004, 37955005, 37953163, 37954944, 37954987, 37954589, 37953637, 37954826, 37954744, 37953207, 37953137, 37953201, 37955210, 37953952, 37953084, 37955312, 37953709, 37955262, 37953503, 37955139, 37953798, 37953222, 37953596, 37953257, 37953844, 37953513, 37955163, 37953937, 37952980, 37953661, 37954249, 37953736, 37954958, 37954467, 37953322, 37953081, 37955215]",314,1697780927,Using extra Firefox profiles to make my life better,story,https://utcc.utoronto.ca/~cks/space/blog/web/FirefoxExtraProfilesHack,
12,warrenm,1.0,37956089,[37956091],22,1697810301,Humming-Birds,story,https://www.c82.net/work/?id=395,
13,Old_Thrashbarg,,37954980,,1,1697803257,UpCodes (YC S17) is hiring remote engineers to help architects with compliance,job,https://up.codes/careers,
